file,R2,r,trait,cs,mode,sp,cv
asi_cs1_a2_sp1_cv1.ghatREL1,0.20983698111695,0.458079666779644,asi,cs1,a2,sp1,cv1.ghatREL1
asi_cs1_a2_sp1_cv2.ghatREL1,0.360343244912985,0.600285969278797,asi,cs1,a2,sp1,cv2.ghatREL1
asi_cs1_a2_sp1_cv3.ghatREL1,0.172006756154928,0.414736972254619,asi,cs1,a2,sp1,cv3.ghatREL1
asi_cs1_a2_sp1_cv4.ghatREL1,0.374599214727328,0.612045108408954,asi,cs1,a2,sp1,cv4.ghatREL1
asi_cs1_a2_sp1_cv5.ghatREL1,0.150788250903141,0.388314628752434,asi,cs1,a2,sp1,cv5.ghatREL1
asi_cs1_a2_sp2_cv1.ghatREL1,0.411893708927054,0.641789458410665,asi,cs1,a2,sp2,cv1.ghatREL1
asi_cs1_a2_sp2_cv2.ghatREL1,0.344357155735148,0.586819525693503,asi,cs1,a2,sp2,cv2.ghatREL1
asi_cs1_a2_sp2_cv3.ghatREL1,0.158794691284675,0.398490515928139,asi,cs1,a2,sp2,cv3.ghatREL1
asi_cs1_a2_sp2_cv4.ghatREL1,0.0891179238808217,0.298526253252242,asi,cs1,a2,sp2,cv4.ghatREL1
asi_cs1_a2_sp2_cv5.ghatREL1,0.63461587556866,0.79662781496045,asi,cs1,a2,sp2,cv5.ghatREL1
asi_cs1_a2_sp3_cv1.ghatREL1,0.0948673212281926,0.308005391557019,asi,cs1,a2,sp3,cv1.ghatREL1
asi_cs1_a2_sp3_cv2.ghatREL1,0.179021726017381,0.423109591025045,asi,cs1,a2,sp3,cv2.ghatREL1
asi_cs1_a2_sp3_cv3.ghatREL1,0.61766710661123,0.785918002473051,asi,cs1,a2,sp3,cv3.ghatREL1
asi_cs1_a2_sp3_cv4.ghatREL1,0.395274529753749,0.628708620708949,asi,cs1,a2,sp3,cv4.ghatREL1
asi_cs1_a2_sp3_cv5.ghatREL1,0.299730695453889,0.54747666201756,asi,cs1,a2,sp3,cv5.ghatREL1
asi_cs1_a2_sp4_cv1.ghatREL1,0.412576937135955,0.642321521619785,asi,cs1,a2,sp4,cv1.ghatREL1
asi_cs1_a2_sp4_cv2.ghatREL1,0.0414124184328091,0.203500413839405,asi,cs1,a2,sp4,cv2.ghatREL1
asi_cs1_a2_sp4_cv3.ghatREL1,0.222650113814527,0.471858150098658,asi,cs1,a2,sp4,cv3.ghatREL1
asi_cs1_a2_sp4_cv4.ghatREL1,0.427280119015238,0.653666672712658,asi,cs1,a2,sp4,cv4.ghatREL1
asi_cs1_a2_sp4_cv5.ghatREL1,0.235375101591188,0.485154719230049,asi,cs1,a2,sp4,cv5.ghatREL1
asi_cs1_a2_sp5_cv1.ghatREL1,0.251628977453028,0.501626332495642,asi,cs1,a2,sp5,cv1.ghatREL1
asi_cs1_a2_sp5_cv2.ghatREL1,0.325389648288071,0.570429354335899,asi,cs1,a2,sp5,cv2.ghatREL1
asi_cs1_a2_sp5_cv3.ghatREL1,0.414423517899041,0.643757343957365,asi,cs1,a2,sp5,cv3.ghatREL1
asi_cs1_a2_sp5_cv4.ghatREL1,0.452747856812632,0.672865407650469,asi,cs1,a2,sp5,cv4.ghatREL1
asi_cs1_a2_sp5_cv5.ghatREL1,0.37065452113088,0.608814028362422,asi,cs1,a2,sp5,cv5.ghatREL1
asi_cs1_a2_sp6_cv1.ghatREL1,0.205354855548147,0.453160959867624,asi,cs1,a2,sp6,cv1.ghatREL1
asi_cs1_a2_sp6_cv2.ghatREL1,0.42928096990342,0.65519536773654,asi,cs1,a2,sp6,cv2.ghatREL1
asi_cs1_a2_sp6_cv3.ghatREL1,0.437129724556056,0.661157866591676,asi,cs1,a2,sp6,cv3.ghatREL1
asi_cs1_a2_sp6_cv4.ghatREL1,0.323249835035161,0.568550644213127,asi,cs1,a2,sp6,cv4.ghatREL1
asi_cs1_a2_sp6_cv5.ghatREL1,0.188463296983461,0.434123596437076,asi,cs1,a2,sp6,cv5.ghatREL1
asi_cs1_a2_sp7_cv1.ghatREL1,0.0884906189752788,0.297473728210205,asi,cs1,a2,sp7,cv1.ghatREL1
asi_cs1_a2_sp7_cv2.ghatREL1,0.529991918061026,0.728005438208415,asi,cs1,a2,sp7,cv2.ghatREL1
asi_cs1_a2_sp7_cv3.ghatREL1,0.426508640364757,0.653076289850395,asi,cs1,a2,sp7,cv3.ghatREL1
asi_cs1_a2_sp7_cv4.ghatREL1,0.666211087596912,0.816217549184598,asi,cs1,a2,sp7,cv4.ghatREL1
asi_cs1_a2_sp7_cv5.ghatREL1,0.48550084485935,0.696778906726768,asi,cs1,a2,sp7,cv5.ghatREL1
asi_cs1_a2_sp8_cv1.ghatREL1,0.476469920147011,0.690268006028826,asi,cs1,a2,sp8,cv1.ghatREL1
asi_cs1_a2_sp8_cv2.ghatREL1,0.152548187407445,0.390574176575264,asi,cs1,a2,sp8,cv2.ghatREL1
asi_cs1_a2_sp8_cv3.ghatREL1,0.487502622799846,0.698213880411902,asi,cs1,a2,sp8,cv3.ghatREL1
asi_cs1_a2_sp8_cv4.ghatREL1,0.143058773567393,0.378231111316075,asi,cs1,a2,sp8,cv4.ghatREL1
asi_cs1_a2_sp8_cv5.ghatREL1,0.333892074860262,0.577833950941152,asi,cs1,a2,sp8,cv5.ghatREL1
asi_cs1_a2_sp9_cv1.ghatREL1,0.131188889796405,0.36220006874158,asi,cs1,a2,sp9,cv1.ghatREL1
asi_cs1_a2_sp9_cv2.ghatREL1,0.245736232427069,0.49571789601251,asi,cs1,a2,sp9,cv2.ghatREL1
asi_cs1_a2_sp9_cv3.ghatREL1,0.452006296379604,0.672314135192474,asi,cs1,a2,sp9,cv3.ghatREL1
asi_cs1_a2_sp9_cv4.ghatREL1,0.0492500229520786,0.221923461923427,asi,cs1,a2,sp9,cv4.ghatREL1
asi_cs1_a2_sp9_cv5.ghatREL1,0.440781938070757,0.663914104437281,asi,cs1,a2,sp9,cv5.ghatREL1
asi_cs1_d2_sp10_cv1.ghatREL1,0.292840148235666,0.541147067104374,asi,cs1,d2,sp10,cv1.ghatREL1
asi_cs1_d2_sp10_cv2.ghatREL1,0.72407255688679,0.850924530664612,asi,cs1,d2,sp10,cv2.ghatREL1
asi_cs1_d2_sp10_cv3.ghatREL1,0.152827489306132,0.390931566013966,asi,cs1,d2,sp10,cv3.ghatREL1
asi_cs1_d2_sp10_cv4.ghatREL1,0.328245536898318,0.572927165439306,asi,cs1,d2,sp10,cv4.ghatREL1
asi_cs1_d2_sp10_cv5.ghatREL1,0.0279369527964832,0.167143509585276,asi,cs1,d2,sp10,cv5.ghatREL1
asi_cs1_d2_sp1_cv1.ghatREL1,0.266922280871368,0.516645217602339,asi,cs1,d2,sp1,cv1.ghatREL1
asi_cs1_d2_sp1_cv2.ghatREL1,0.383153965289191,0.61899431765501,asi,cs1,d2,sp1,cv2.ghatREL1
asi_cs1_d2_sp1_cv3.ghatREL1,0.194097173631218,0.440564607783261,asi,cs1,d2,sp1,cv3.ghatREL1
asi_cs1_d2_sp1_cv4.ghatREL1,0.419444963507603,0.647645708321767,asi,cs1,d2,sp1,cv4.ghatREL1
asi_cs1_d2_sp1_cv5.ghatREL1,0.274826188888303,0.524238675498387,asi,cs1,d2,sp1,cv5.ghatREL1
asi_cs1_d2_sp2_cv1.ghatREL1,0.39906338224432,0.631714636718447,asi,cs1,d2,sp2,cv1.ghatREL1
asi_cs1_d2_sp2_cv2.ghatREL1,0.264017112819392,0.513825955766534,asi,cs1,d2,sp2,cv2.ghatREL1
asi_cs1_d2_sp2_cv3.ghatREL1,0.469453838928969,0.685167015353898,asi,cs1,d2,sp2,cv3.ghatREL1
asi_cs1_d2_sp2_cv4.ghatREL1,0.115525949236244,0.339891084372986,asi,cs1,d2,sp2,cv4.ghatREL1
asi_cs1_d2_sp2_cv5.ghatREL1,0.718561487928626,0.847680062245554,asi,cs1,d2,sp2,cv5.ghatREL1
asi_cs1_d2_sp3_cv1.ghatREL1,0.255224642777099,0.505197627446031,asi,cs1,d2,sp3,cv1.ghatREL1
asi_cs1_d2_sp3_cv2.ghatREL1,0.132468109446784,0.363961686784179,asi,cs1,d2,sp3,cv2.ghatREL1
asi_cs1_d2_sp3_cv3.ghatREL1,0.569248897827783,0.75448584998513,asi,cs1,d2,sp3,cv3.ghatREL1
asi_cs1_d2_sp3_cv4.ghatREL1,0.392378780897764,0.626401453460769,asi,cs1,d2,sp3,cv4.ghatREL1
asi_cs1_d2_sp3_cv5.ghatREL1,0.122186483379062,0.349551832178094,asi,cs1,d2,sp3,cv5.ghatREL1
asi_cs1_d2_sp4_cv1.ghatREL1,0.528223045759339,0.726789547090035,asi,cs1,d2,sp4,cv1.ghatREL1
asi_cs1_d2_sp4_cv2.ghatREL1,0.0654656621872148,0.255862584578548,asi,cs1,d2,sp4,cv2.ghatREL1
asi_cs1_d2_sp4_cv3.ghatREL1,0.292523505320197,0.540854421559256,asi,cs1,d2,sp4,cv3.ghatREL1
asi_cs1_d2_sp4_cv4.ghatREL1,0.466435720185588,0.682960994629699,asi,cs1,d2,sp4,cv4.ghatREL1
asi_cs1_d2_sp4_cv5.ghatREL1,0.210763205241593,0.459089539459998,asi,cs1,d2,sp4,cv5.ghatREL1
asi_cs1_d2_sp5_cv1.ghatREL1,0.553483614161323,0.743964793630265,asi,cs1,d2,sp5,cv1.ghatREL1
asi_cs1_d2_sp5_cv2.ghatREL1,0.0373201181080685,0.193184155944706,asi,cs1,d2,sp5,cv2.ghatREL1
asi_cs1_d2_sp5_cv3.ghatREL1,0.556847509247443,0.746222158105375,asi,cs1,d2,sp5,cv3.ghatREL1
asi_cs1_d2_sp5_cv4.ghatREL1,0.572812765426227,0.756843950511747,asi,cs1,d2,sp5,cv4.ghatREL1
asi_cs1_d2_sp5_cv5.ghatREL1,0.381938464246563,0.61801170235406,asi,cs1,d2,sp5,cv5.ghatREL1
asi_cs1_d2_sp6_cv1.ghatREL1,0.222832524887156,0.472051400683396,asi,cs1,d2,sp6,cv1.ghatREL1
asi_cs1_d2_sp6_cv2.ghatREL1,0.469892741885702,0.685487229556979,asi,cs1,d2,sp6,cv2.ghatREL1
asi_cs1_d2_sp6_cv3.ghatREL1,0.517071496844617,0.719076836537387,asi,cs1,d2,sp6,cv3.ghatREL1
asi_cs1_d2_sp6_cv4.ghatREL1,0.475655868985108,0.689678090840291,asi,cs1,d2,sp6,cv4.ghatREL1
asi_cs1_d2_sp6_cv5.ghatREL1,0.238134645824326,0.487990415709495,asi,cs1,d2,sp6,cv5.ghatREL1
asi_cs1_d2_sp7_cv1.ghatREL1,0.135994299628851,0.368774049559959,asi,cs1,d2,sp7,cv1.ghatREL1
asi_cs1_d2_sp7_cv2.ghatREL1,0.288239904524155,0.536879785915018,asi,cs1,d2,sp7,cv2.ghatREL1
asi_cs1_d2_sp7_cv3.ghatREL1,0.445144025579033,0.667191146208516,asi,cs1,d2,sp7,cv3.ghatREL1
asi_cs1_d2_sp7_cv4.ghatREL1,0.52926275200769,0.727504468720083,asi,cs1,d2,sp7,cv4.ghatREL1
asi_cs1_d2_sp7_cv5.ghatREL1,0.463487757023983,0.680799351515542,asi,cs1,d2,sp7,cv5.ghatREL1
asi_cs1_d2_sp8_cv1.ghatREL1,0.478128871619916,0.691468633865569,asi,cs1,d2,sp8,cv1.ghatREL1
asi_cs1_d2_sp8_cv2.ghatREL1,0.177076451426802,0.420804528762229,asi,cs1,d2,sp8,cv2.ghatREL1
asi_cs1_d2_sp8_cv3.ghatREL1,0.444796762716365,0.666930853024783,asi,cs1,d2,sp8,cv3.ghatREL1
asi_cs1_d2_sp8_cv4.ghatREL1,0.114294479864685,0.33807466610896,asi,cs1,d2,sp8,cv4.ghatREL1
asi_cs1_d2_sp8_cv5.ghatREL1,0.232247303723438,0.4819204329798,asi,cs1,d2,sp8,cv5.ghatREL1
asi_cs1_d2_sp9_cv1.ghatREL1,0.212453570637187,0.4609268603989,asi,cs1,d2,sp9,cv1.ghatREL1
asi_cs1_d2_sp9_cv2.ghatREL1,0.219908271348183,0.468943782716205,asi,cs1,d2,sp9,cv2.ghatREL1
asi_cs1_d2_sp9_cv3.ghatREL1,0.331754619993093,0.575981440667226,asi,cs1,d2,sp9,cv3.ghatREL1
asi_cs1_d2_sp9_cv4.ghatREL1,0.383182796842364,0.619017606245868,asi,cs1,d2,sp9,cv4.ghatREL1
asi_cs1_d2_sp9_cv5.ghatREL1,0.226291514774881,0.475701077121842,asi,cs1,d2,sp9,cv5.ghatREL1
asi_cs2_a2_sp10_cv1.ghatREL1,0.134143614985782,0.366256214944923,asi,cs2,a2,sp10,cv1.ghatREL1
asi_cs2_a2_sp10_cv2.ghatREL1,0.554027452097722,0.744330203671544,asi,cs2,a2,sp10,cv2.ghatREL1
asi_cs2_a2_sp10_cv3.ghatREL1,0.1847120206518,0.429781363779073,asi,cs2,a2,sp10,cv3.ghatREL1
asi_cs2_a2_sp10_cv4.ghatREL1,0.16643314516842,0.407962185954067,asi,cs2,a2,sp10,cv4.ghatREL1
asi_cs2_a2_sp10_cv5.ghatREL1,0.0207311440106603,0.14398313793865,asi,cs2,a2,sp10,cv5.ghatREL1
asi_cs2_a2_sp1_cv1.ghatREL1,0.244577742837883,0.494548018738204,asi,cs2,a2,sp1,cv1.ghatREL1
asi_cs2_a2_sp1_cv2.ghatREL1,0.280677823097318,0.529790357686244,asi,cs2,a2,sp1,cv2.ghatREL1
asi_cs2_a2_sp1_cv3.ghatREL1,0.119637652927081,0.34588676315679,asi,cs2,a2,sp1,cv3.ghatREL1
asi_cs2_a2_sp1_cv4.ghatREL1,0.405936748534634,0.637131657143666,asi,cs2,a2,sp1,cv4.ghatREL1
asi_cs2_a2_sp1_cv5.ghatREL1,0.133247043484452,0.365030195305062,asi,cs2,a2,sp1,cv5.ghatREL1
asi_cs2_a2_sp2_cv1.ghatREL1,0.460251265707161,0.678418208561033,asi,cs2,a2,sp2,cv1.ghatREL1
